,super_opeid,mr_overall,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
315,11046,2.8933372800000003,3.22206946,2.9209750899999998,2.9489995099999997,2.74406528,2.73120663
316,3188,3.0353537700000004,3.30882017,3.1536166200000006,3.0661205599999994,2.89751785,2.91423624
317,4890,2.9958066899999998,3.128457765,3.20316106,2.97078807,2.9472128800000004,2.783371455
318,2915,3.06851872,3.3237807889999997,3.207716027,3.06566486,2.9600353,2.9451390099999997
319,3026,3.14408152,3.219418321,3.1941446279999997,3.12041857,3.0067201800000003,3.0497376700000003
320,4003,2.67158249,2.78102551,2.7479585600000003,2.6818389099999997,2.5773243900000002,2.43599928
321,4988,2.90619655,3.3479874250000003,2.9730644500000003,2.96102843,2.7445203350000007,2.7417167499999997
322,3771,2.3674747700000003,2.68497296,2.48343401,2.38484258,2.36541149,2.29313051
323,7289,3.04306549,3.36399115,3.18183141,3.01429859,2.6114980249999995,3.06440074
324,3772,2.9071861799999996,3.26023201,3.00552191,2.9396074599999995,2.72066809,2.7517568299999997
325,1961,2.198450764,2.1436139219999997,2.079759106,2.200487583,2.170846251,2.2337407799999998
326,1161,2.9154896800000003,3.07437855,2.9119688100000003,2.86591319,2.84088967,2.78607415
327,85,2.97846714,3.3009480399999998,3.1455712,2.9700947400000004,2.85995633,2.8120900900000003
328,201,2.72314283,3.09955861,2.8487490500000003,2.81694423,2.6428627899999997,2.5635938499999997
329,2539,2.42664272,2.72533986,2.6106873900000003,2.425278095,2.24276855,2.30260739
330,1163,2.98924503,3.25355739,3.0185412000000005,3.0010370099999997,2.93708709,2.8153869900000004
331,1605,2.6065564400000003,2.7637934399999997,2.64743024,2.61500702,2.54015777,2.5188362900000003
332,3684,2.453718555,2.66030604,2.57381548,2.5147000200000003,2.3487823700000003,2.4153966
333,1164,2.3091711399999997,2.53925338,2.268824534,2.5322101200000002,2.21540808,2.26463582
334,2261,3.10546674,3.444971764,3.273330263,3.1202451699999996,2.98449936,2.96580735
335,3419,2.6158983099999995,2.68032211,2.71517442,2.51334379,2.5316129149999997,2.70963895
336,3244,2.77032633,2.91502705,2.792135215,2.75454131,2.61933331,2.86221007
337,5620,3.15855871,3.2439939300000007,3.2311084049999996,3.225554459,3.159163022,2.9930250899999997
338,12182,3.05686977,3.126657819,3.257614885,3.0561719990000005,2.8581818800000005,2.81958013
339,3998,3.05378567,3.2681092240000003,3.19236337,3.04809325,2.8805836599999997,2.92978156
340,3218,3.0113111800000003,3.3240398550000005,3.13903114,3.0028049099999996,2.90858701,2.80379246
341,4650,2.8561504799999997,3.1634355000000003,2.9750792799999997,2.89399864,2.74377285,2.5690656700000005
342,3245,2.518337714,2.617038318,2.7798398200000003,2.2853385939999997,2.5213632099999996,2.444123716
343,3317,3.0573722300000004,3.1535687680000004,3.02493219,3.01950354,3.0817255000000006,2.8569506079999996
344,1694,2.7787011,2.95933167,2.7923436699999997,2.7671070899999997,2.61744569,2.508552615
345,1472,2.8810583999999997,3.241594934,2.97097016,2.78351806,2.684245155,2.559779196
346,5304,2.70853868,2.91790887,2.75358094,2.7717487200000006,2.55852735,2.6593356700000004
347,3482,2.123009153,2.3047263730000003,2.138108596,2.22040052,2.0308724509999996,2.113574499
348,3706,2.406792422,2.67095667,2.5394400040000003,2.53406581,2.433305568,2.23457366
349,3029,2.8261432400000004,2.914276303,2.84240522,3.0028118699999995,2.8191596899999998,2.632573342
350,10345,2.83080793,3.2852307350000007,3.0909809200000002,2.75281136,2.66823764,2.5925225949999997
351,3553,2.8873213700000004,3.0227164600000003,3.01575825,2.90210982,2.6820666099999997,2.730814218
352,3423,1.8894489939999999,2.283126382,1.8423933479999999,1.9569386739999999,1.889153348,1.839936095
353,1166,2.96597088,3.15365561,3.00929979,2.9681036400000003,2.9538903199999997,2.8121523
354,2688,2.24497341,2.3888696699999996,2.251459995,2.177659825,2.23427911,1.9121267210000001
355,93,3.08740967,3.26029308,3.13277316,3.02313403,2.94203973,2.6968309199999996
356,4878,2.95794433,3.29430696,3.08418132,2.93970574,2.86587637,2.85729599
357,3424,2.7598498999999994,2.90907819,2.718405375,2.70240293,2.67298014,2.523148491
358,1170,1.845947757,1.7229704190000001,2.169117689,2.11051804,1.7451748550000001,1.808669847
359,3554,2.9643011200000005,2.9596489700000004,2.99739185,2.9979872,3.03073048,2.59407751
360,3318,2.58042003,2.9943516499999996,2.7619067400000006,2.631449825,2.4848324799999997,2.3880101750000002
361,1559,2.6592780300000003,2.752291605,2.71852433,2.7117263999999994,2.464274005,2.61392383
362,3773,2.9023012299999995,3.1892285,2.9929111500000003,2.9193541499999998,2.8704609299999997,2.7952594499999996
363,4852,3.01639874,3.3602031409999995,3.086718828,2.9542481400000002,2.93561313,2.8765230200000005
364,2139,2.193518835,2.259977325,2.31578063,2.221657998,2.1995723199999997,2.1455345749999997
365,1852,2.323491144,2.052203196,2.679609672,2.340360135,2.2437881049999997,2.317057413
366,2699,1.609475802,1.983389819,1.7437614909999999,1.726917309,1.622077955,1.445669729
367,3189,3.14389823,3.369308034,3.3571267039999997,3.03625226,3.05359496,2.9533914400000003
368,8976,2.69863534,2.72631229,2.7279932199999997,2.6674269400000004,2.73579281,2.6490127799999996
369,1473,2.66629829,3.118450206,2.7348030000000003,2.499929654,2.81038059,2.5036428699999997
370,3425,2.083947331,2.208736993,2.215598155,2.1822368800000005,2.125443234,2.0238729109999998
371,8082,3.210817295,3.4778638710000003,3.3369587060000003,3.0893175530000003,3.0289080649999995,3.01806798
372,21107,3.570435142,3.4829128679999997,3.622914909,3.705164139,3.3886179640000003,3.46176014
373,3999,3.0195026499999997,3.1289395200000003,3.191659571,3.027172179,2.91682122,2.84091461
374,3032,2.5821166,2.90919257,2.8316300599999997,2.5782663649999997,2.421441215,2.4199278200000003
375,6787,2.8733144000000004,3.134636413,3.1200308500000005,2.81657744,2.6897752899999996,2.6455286
376,1909,2.95831685,3.2581240690000004,3.034888528,2.92925885,2.781101635,2.7152741099999997
377,5752,3.17091009,3.343477262,3.2487861000000002,3.322328067,2.98434718,3.009623
378,4743,3.03883929,3.29957036,3.1542442599999996,2.9546063900000004,2.7714059300000002,2.6154308000000004
379,4,2.8866448199999994,3.00567697,2.95909825,2.92908202,2.8368210300000003,2.7883114700000005
380,5316,2.9636917600000006,3.11330333,3.0763073099999994,2.93017301,2.9251519600000004,2.64698331
381,3451,2.53521463,2.77103815,2.583036415,2.621521375,2.53298029,2.43527962
382,1072,2.96170767,3.0964332599999995,3.03414506,2.97321214,2.8843840399999996,2.6532959099999998
383,31004,3.08472377,3.2817036500000003,3.20941707,3.09851466,3.0338794399999998,2.88941273
384,1854,2.086627946,2.45006423,2.105292452,2.0361874899999997,2.0437012880000003,2.10981033
